Date,Close
3/16/2018,53.03
3/19/2018,53.31
3/20/2018,53.37
3/21/2018,53.08
3/22/2018,53.18
3/23/2018,53.27
3/26/2018,53.79
3/27/2018,53.82
3/28/2018,55.81
3/29/2018,56.39
4/2/2018,55.67
4/3/2018,56.23
4/4/2018,57.37
4/5/2018,57.45
4/6/2018,57.3
4/9/2018,57.1
4/10/2018,56.69
4/11/2018,56.7
4/12/2018,56.68
4/13/2018,57.01
4/16/2018,57.14
4/17/2018,57.23
4/18/2018,57.15
4/19/2018,55.81
4/20/2018,55.29
4/23/2018,54.99
4/24/2018,55.66
4/25/2018,55.7
4/26/2018,56.13
4/27/2018,56.88
4/30/2018,57.12
5/1/2018,56.51
5/2/2018,54.77
5/3/2018,54.72
5/4/2018,55.15
5/7/2018,55.1
5/8/2018,55.71
5/9/2018,56.32
5/10/2018,56.71
5/11/2018,56.7
5/14/2018,56.77
5/15/2018,56.15
5/16/2018,55.83
5/17/2018,55.82
5/18/2018,55.82
5/21/2018,56.55
5/22/2018,56.64
5/23/2018,56.51
5/24/2018,56.27
5/25/2018,56.19
5/29/2018,55.59
5/30/2018,56.66
5/31/2018,55.77
6/1/2018,55.92
6/4/2018,56.16
6/5/2018,56.11
6/6/2018,55.66
6/7/2018,55.38
6/8/2018,55.99
6/11/2018,56.02
6/12/2018,56.08
6/13/2018,55.62
6/14/2018,54.04
6/15/2018,54.76
6/18/2018,54.03
6/19/2018,53.96
6/20/2018,54.38
6/21/2018,54.42
6/22/2018,55.4
6/25/2018,55.25
6/26/2018,55.07
6/27/2018,54.77
6/28/2018,54.94
6/29/2018,55.72
7/2/2018,55.06
7/3/2018,55.77
7/5/2018,56.2
7/6/2018,56.08
7/9/2018,56.1
7/10/2018,56.34
7/11/2018,55.36
7/12/2018,55.68
7/13/2018,56.12
7/16/2018,56.06
7/17/2018,55.54
7/18/2018,55.46
7/19/2018,56.85
7/20/2018,57.97
7/23/2018,57.23
7/24/2018,57.09
7/25/2018,57.5
7/26/2018,56.89
7/27/2018,57.11
7/30/2018,57.35
7/31/2018,57.46
8/1/2018,57.47
8/2/2018,57.35
8/3/2018,57.24
8/6/2018,57.25
8/7/2018,57.6
8/8/2018,57.55
8/9/2018,57.28
8/10/2018,55.99
8/13/2018,56.19
8/14/2018,56.37
8/15/2018,56.14
8/16/2018,56.35
8/17/2018,56.72
8/20/2018,57.07
8/21/2018,57.27
8/22/2018,57.59
8/23/2018,57.19
8/24/2018,57.7
8/27/2018,58.29
8/28/2018,58.29
8/29/2018,58.39
8/30/2018,58.05
8/31/2018,57.48
9/4/2018,56.54
9/5/2018,56.02
9/6/2018,55.15
9/7/2018,55.11
9/10/2018,55.93
9/11/2018,56.36
9/12/2018,56.84
9/13/2018,56.55
9/14/2018,56.17
9/17/2018,56.33
9/18/2018,56.26
9/19/2018,55.15
9/20/2018,56.52
9/21/2018,56.51
9/24/2018,55.69
9/25/2018,55.53
9/26/2018,55.8
9/27/2018,55.86
9/28/2018,55.55
10/1/2018,55.83
10/2/2018,55.14
10/3/2018,55.26
10/4/2018,53.87
10/5/2018,53.82
10/8/2018,53.91
10/9/2018,53.87
10/10/2018,53.49
10/11/2018,52.56
10/12/2018,52.79
10/15/2018,53.46
10/16/2018,54.14
10/17/2018,53.71
10/18/2018,52.7
10/19/2018,54.61
10/22/2018,54.29
10/23/2018,55.09
10/24/2018,54.49
